Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,332.5,339.0,332.5,339.0,313.7915954589844,31754120
2020-01-03,344.0,345.0,335.5,339.5,314.25445556640625,41811268
2020-01-06,333.0,334.5,332.0,332.0,307.3121643066406,45343057
2020-01-07,332.5,333.0,326.5,329.5,304.9980163574219,50879181
2020-01-08,325.0,333.0,325.0,329.5,304.9980163574219,37567748
2020-01-09,335.0,337.5,333.5,337.5,312.40313720703125,31481504
2020-01-10,340.5,341.0,336.0,339.5,314.25445556640625,27032115
2020-01-13,342.0,342.0,339.0,341.5,316.1057434082031,30663332
2020-01-14,345.5,346.0,344.5,346.0,320.2711181640625,30223993
2020-01-15,345.0,345.0,337.5,340.0,314.71728515625,47434274
2020-01-16,330.0,336.5,330.0,334.5,309.6263122558594,55211420
2020-01-17,334.0,335.5,332.0,333.0,308.23779296875,52060097
2020-01-20,334.0,335.5,333.0,333.0,308.23779296875,32658203
2020-01-30,326.0,326.0,316.5,316.5,292.96478271484375,125451049
2020-01-31,323.0,323.5,319.0,320.0,296.2044372558594,62526055
2020-02-03,315.0,316.5,312.0,315.0,291.5762939453125,59560849
2020-02-04,336.5,337.0,325.0,325.0,300.8326721191406,51890496
2020-02-05,329.0,329.5,324.5,327.5,303.1468200683594,36601453
2020-02-06,329.5,332.5,329.0,332.5,307.7749328613281,29267094
2020-02-07,330.0,330.5,326.0,328.0,303.609619140625,28798327
2020-02-10,321.5,328.0,321.0,327.5,303.1468200683594,30632424
2020-02-11,330.5,332.5,330.0,331.5,306.8493347167969,27524935
2020-02-12,333.5,336.0,333.0,335.0,310.08905029296875,37612639
2020-02-13,338.0,338.0,335.0,335.0,310.08905029296875,22757021
2020-02-14,337.0,337.0,334.5,335.0,310.08905029296875,16933683
2020-02-17,331.5,333.0,330.5,331.5,306.8493347167969,15937079
2020-02-18,324.5,326.5,322.0,322.0,298.05572509765625,61825604
2020-02-19,322.5,327.0,322.0,326.5,302.2211608886719,38781218
2020-02-20,328.0,329.0,325.0,325.5,301.2955627441406,27011736
2020-02-21,325.5,326.5,323.0,325.0,300.8326721191406,22813534
2020-02-24,319.5,321.5,319.5,320.0,296.2044372558594,41693680
2020-02-25,320.0,323.5,317.5,322.0,298.05572509765625,36195011
